Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2019,ANDHRA PRADESH,GUNTUR,MODUGULA VENUGOPALA REDDY,YSRCP,583713,S01,13,2
2019,ANDHRA PRADESH,GUNTUR,BONABOYINA SRINIVASA RAO,JANASENA PARTY,129205,S01,13,3
2019,ANDHRA PRADESH,GUNTUR,SHAIK MASTANVALI,INC,14205,S01,13,4
2019,ANDHRA PRADESH,GUNTUR,JAYAPRAKASH NARAYANA VALLURU,BJP,11841,S01,13,5
2019,ANDHRA PRADESH,GUNTUR,MANNAVA HARIPRASAD,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) RED STAR,3216,S01,13,6
2019,ANDHRA PRADESH,GUNTUR,DASARI KIRAN BABU,IND,2909,S01,13,7
2019,ANDHRA PRADESH,GUNTUR,UMAR BASHA SHAIK,IND,2676,S01,13,8
2019,ANDHRA PRADESH,GUNTUR,YANAMADALA VENKATA SURESH,IND,1947,S01,13,9
2019,ANDHRA PRADESH,GUNTUR,RAMARAO SIMHADRI,PRAJA SHANTHI PARTY,1746,S01,13,10
2019,ANDHRA PRADESH,GUNTUR,SARABANDI RAJU SIKHINAM,INDIAN LABOUR PARTY (AMBEDKAR PHULE),1017,S01,13,11
2019,ANDHRA PRADESH,GUNTUR,NAGARAJU EKULA,RPI(A),920,S01,13,12
2019,ANDHRA PRADESH,GUNTUR,ARAVETI HAZARATH RAO,PPOI,810,S01,13,13
2019,ANDHRA PRADESH,GUNTUR,JACOB VIDYASAGAR NAKKA,VCK,641,S01,13,14
2019,ANDHRA PRADESH,GUNTUR,DOPPALAPUDI VEERA DAS,IND,629,S01,13,15
2019,ANDHRA PRADESH,GUNTUR,SAMUDRALA CHINNA KOTAIAH,NATIONAL DALITHA DHAL PARTY,628,S01,13,16
2019,ANDHRA PRADESH,GUNTUR,SHAIK JALEEL,NAVARANG CONGRESS PARTY,563,S01,13,17
2019,ANDHRA PRADESH,GUNTUR,ULLAGI DAVID JAYAKUMAR,HARDAM MANAVTAWADI RASHTRIYA DAL,447,S01,13,18
2019,ANDHRA PRADESH,GUNTUR,JELDI RAJA MOHAN,ALL INDIA PRAJA PARTY,437,S01,13,19
2019,ANDHRA PRADESH,GUNTUR,NOTA,NOTA,6006,S01,13,-1
2019,ANDHRA PRADESH,NARASARAOPET,LAVU SRI KRISHNA DEVARAYALU,YSRCP,745089,S01,14,1
2019,ANDHRA PRADESH,NARASARAOPET,RAYAPATI SAMBASIVARAO,TDP,591111,S01,14,2
2019,ANDHRA PRADESH,NARASARAOPET,NAYUB KAMAL SHAIK,JANASENA PARTY,50813,S01,14,3
2019,ANDHRA PRADESH,NARASARAOPET,KANNA LAKSHMI NARAYANA,BJP,15468,S01,14,4
2019,ANDHRA PRADESH,NARASARAOPET,PAKKALA SURIBABU,INC,11032,S01,14,5
2019,ANDHRA PRADESH,NARASARAOPET,ALLU VENKATAREDDY,PPOI,2896,S01,14,6
2019,ANDHRA PRADESH,NARASARAOPET,DURGAMPUDI RAMIREDDY,IND,2684,S01,14,7
2019,ANDHRA PRADESH,NARASARAOPET,REDDYBOINA PRASANNA KUMAR,IND,1395,S01,14,8
