Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code
2004,MAHARASHTRA,CHANDRAPUR,DR. VASANT RUSHI MAHESHKAR (MASRAM),BBM,9277,S13,13
2004,MAHARASHTRA,CHANDRAPUR,TAYARA CHHOTU SHEIKH (PASHA),IND,8805,S13,13
2004,MAHARASHTRA,CHANDRAPUR,GURUDAS KAMBLE GURUJI,IND,5114,S13,13
2004,MAHARASHTRA,CHANDRAPUR,DEOTALE CHANDRASHEKHAR DIGAMBAR,ARP,4658,S13,13
2004,MAHARASHTRA,CHANDRAPUR,KHARTAD LOMESH MAROTI,IND,3528,S13,13
2004,MAHARASHTRA,CHANDRAPUR,DR. ARUN GOPALRAO DESHPANDE,IND,3454,S13,13
2004,MAHARASHTRA,CHANDRAPUR,NAGDEOTE SEOCHANDRA SHALIKRAM,PRCP,2850,S13,13
2004,MAHARASHTRA,CHIMUR,SHIVANKAR MAHADEORAO SUKAJI,BJP,336711,,
2004,MAHARASHTRA,CHIMUR,PROF. JOGENDRA KAWADE,PRBP,237937,,
2004,MAHARASHTRA,CHIMUR,ER. KUTHE YOGRAJ KRISHNAJI,BSP,75099,,
2004,MAHARASHTRA,CHIMUR,JITENDRA ADKU RAUT,IND,28591,,
2004,MAHARASHTRA,CHIMUR,ADV. DADASAHEB ALIAS BHIKAJI WALTHARE,BBM,22363,,
2004,MAHARASHTRA,CHIMUR,RAUT DEORAO JAGANNATH,IND,16864,,
2004,MAHARASHTRA,CHIMUR,UIKE SAKHARAM KAWADUJI,GGP,11366,,
2004,MAHARASHTRA,CHIMUR,ADV. EKNATH BAVANKAR,SP,10289,,
2004,MAHARASHTRA,CHIMUR,KATAKWAR JAYANT KRISHNAMURARI,IND,6864,,
2004,MAHARASHTRA,CHIMUR,BHOYAR VINOD NARENDRA,IND,6134,,
2004,MAHARASHTRA,CHIMUR,QURESHI MOHAMMAD IKHALAK MO. YUSUF,IND,5646,,
2004,MAHARASHTRA,CHIMUR,CHARANDAS JANGLUJI MESHRAM,IND,4703,,
2004,MAHARASHTRA,CHIMUR,GAUTAM RAMCHNADRA JANBANDHU,PRCP,4693,,
2004,MAHARASHTRA,CHIMUR,ADV. THENGRI NATTHUJI NARAYAN,RLD,4526,,
2004,MAHARASHTRA,CHIMUR,DAMODAR LAXMANRAO KALE,IND,3737,,
2004,MAHARASHTRA,DAHANU,SHINGADA DAMODAR BARKU,INC,286004,,
2004,MAHARASHTRA,DAHANU,ADV. CHINTAMAN WANGA,BJP,222641,,
2004,MAHARASHTRA,DAHANU,VARATHA RAMJI MAHADU,CPM,118090,,
2004,MAHARASHTRA,DAHANU,HAJI. D. ABDULLAH,BSP,29024,,
2004,MAHARASHTRA,DAHANU,A. RASHEED MAMU,RSNP,27594,,
2004,MAHARASHTRA,DHULE,CHAURE BAPU HARI,INC,210714,S13,2
2004,MAHARASHTRA,DHULE,GAVIT RAMDAS RUPLA,BJP,202949,S13,2
2004,MAHARASHTRA,DHULE,DR. BARDE MACHHINDRANATH SURYABHAN,IND,23776,S13,2
2004,MAHARASHTRA,DHULE,ENGG. JADHAV GOVIND SHANKAR,BSP,18132,S13,2
2004,MAHARASHTRA,ERANDOL,ANNASAHEB M. K. PATIL,BJP,289559,,
2004,MAHARASHTRA,ERANDOL,ADV. VASANTRAO JEEVANRAO MORE,NCP,281418,,
2004,MAHARASHTRA,ERANDOL,GAUTAM SOMAJI MORE,BSP,18491,,
2004,MAHARASHTRA,ERANDOL,DEORE RAJENDRASING BHIMSING,SP,10284,,
2004,MAHARASHTRA,ERANDOL,PATIL SURESH PANDURANG,HJP,10048,,
2004,MAHARASHTRA,HINGOLI,SURYAKANTA PATIL,NCP,327944,S13,15
2004,MAHARASHTRA,HINGOLI,SHIVAJI GYANBARAO MANE,SHS,315399,S13,15
2004,MAHARASHTRA,HINGOLI,RATHOD MADHAVI PARSHURAM,BSP,29662,S13,15
2004,MAHARASHTRA,HINGOLI,RATHOD SANJAYKUMAR TULSHIRAM,BBM,24971,S13,15
2004,MAHARASHTRA,HINGOLI,ADV. PUNJABRAO RAMDHAN CHAVAN,IND,12651,S13,15
2004,MAHARASHTRA,HINGOLI,UTTAMRAO DAGDUJI BHAGAT,PRCP,11040,S13,15
2004,MAHARASHTRA,HINGOLI,CHAVAN GOVIND BHIKU,IND,6658,S13,15
2004,MAHARASHTRA,ICHALKARANJI,MANE NIVEDITA SAMBHAJIRAO,NCP,422272,,
2004,MAHARASHTRA,ICHALKARANJI,DR. PATIL SANJAY (DADA) SHAMRAO,SHS,321223,,
2004,MAHARASHTRA,ICHALKARANJI,KAMBALE SUKUMAR DATTU,BBM,20155,,
2004,MAHARASHTRA,ICHALKARANJI,MANE SUNITA ARVIND,IND,19704,,
2004,MAHARASHTRA,ICHALKARANJI,PATIL SANJAY SHAMRAO,IND,7733,,
2004,MAHARASHTRA,JALGAON,Y. G. MAHAJAN (SIR),BJP,298865,S13,3
2004,MAHARASHTRA,JALGAON,DR. ULHAS VASUDEO PATIL,INC,278219,S13,3
2004,MAHARASHTRA,JALGAON,GAWAI RAVINDRA TULSHIRAM,BSP,16785,S13,3
2004,MAHARASHTRA,JALGAON,D. D. WANI PHOTOGRAPHER,IND,12254,S13,3
2004,MAHARASHTRA,JALGAON,DADASO. P. E. TATYA PATIL,SP,7682,S13,3
2004,MAHARASHTRA,JALGAON,DAGADU KITAB TADAVI,IND,3164,S13,3
2004,MAHARASHTRA,JALNA,DANVE RAOSAHEB DADARAO PATIL,BJP,369630,S13,18
2004,MAHARASHTRA,JALNA,PAWAR UTTAMSINGH RAJDHARSINGH,INC,308298,S13,18
2004,MAHARASHTRA,JALNA,SHAIKH FEROJ ALI,IND,17572,S13,18
2004,MAHARASHTRA,JALNA,SOW. ARCHANA MILIND KHILLARE,BSP,17115,S13,18
2004,MAHARASHTRA,JALNA,GADEKAR RAMU,BBM,11993,S13,18
2004,MAHARASHTRA,JALNA,SHAIKH USMAN HUSSAIN,IND,8174,S13,18
2004,MAHARASHTRA,JALNA,SHINDE BABASAHEB,IND,5789,S13,18
2004,MAHARASHTRA,JALNA,TANPURE SHIVAJI ARJUNRAO,SVRP,3493,S13,18
2004,MAHARASHTRA,JALNA,PACHARE PANDIT,IND,3087,S13,18
2004,MAHARASHTRA,JALNA,GARBADE PARMESHWAR,IND,2555,S13,18
2004,MAHARASHTRA,JALNA,CHECHANI RAJENDRAKUMAR,IND,2416,S13,18
2004,MAHARASHTRA,JALNA,NADE DYANESHWAR DAGDU,IND,2328,S13,18
2004,MAHARASHTRA,JALNA,SHAIKH YAKUB SK. HUSSAIN ANSARI,BMSM,2126,S13,18
2004,MAHARASHTRA,JALNA,DHABE BHAGWAN NAMDEV,IND,1789,S13,18
2004,MAHARASHTRA,KARAD,PATIL SHRINIWAS DADASAHEB,NCP,436732,,
2004,MAHARASHTRA,KARAD,MANKUMARE VASANT DNYANDEV,SHS,240002,,
2004,MAHARASHTRA,KARAD,ADV. KAMBLE PRABHAKAR MANSING,BSP,17361,,
2004,MAHARASHTRA,KARAD,ANANDRAO TUKARAM THORAT,IND,12040,,
2004,MAHARASHTRA,KARAD,JADHAV BALIKRISHNA ALIAS BALASAHEB BHIMRAO,RSPS,8388,,
2004,MAHARASHTRA,KHED,ADHALARAO PATIL SHIVAJIRAO,SHS,360501,,
2004,MAHARASHTRA,KHED,ASHOK NAMDEVRAO MOHOL,NCP,339691,,
2004,MAHARASHTRA,KHED,ARBUJ SHIVAJI JIJABA,IND,12055,,
2004,MAHARASHTRA,KHED,KUDALE VIVEK ANANT,BSP,11216,,
2004,MAHARASHTRA,KHED,BHOSALE LAXMAN DHARMAJI,BBM,5274,,
